Anumber,Balance,Term,Interest,Ussn
964189181156,1000000,2020.5.14,1.07,453453453
273986092469,1250000,2020.5.9,1.07,987987987
713682887887,1380000,2020.2.13,1.2,999887777
478347894945,1400000,2020.9.1,1.13,123456789
943110567309,1550000,2020.1.4,1.12,666884444
216942137264,2430000,2020.3.1,1.07,333445555
599168678006,3250000,2020.5.1,1.03,987654321
539134653046,4250000,2020.2.5,1.04,888665555
578345624945,250000,NULL,NULL,123456789
948482887887,250000,NULL,NULL,999887777
943113467309,250000,NULL,NULL,666884444
366947237264,300000,NULL,NULL,333445555
539608253046,380000,NULL,NULL,888665555
729641348006,400000,NULL,NULL,987654321
964462351156,430000,NULL,NULL,453453453
850986092469,550000,NULL,NULL,987987987
