Rnumber,Ramount,Getting_account,Raccount,Mssn
1,25,964462351156,850986092469,222444888
2,25,964462351156,850986092469,666333111
3,25,539608253046,964462351156,222444888
4,125,943113467309,964462351156,234234234
5,225,964462351156,729641348006,222444888
6,325,964462351156,729641348006,234234234
7,225,578345624945,539608253046,666333111
8,225,943113467309,539608253046,234234234
9,225,539608253046,366947237264,666333111
10,225,578345624945,366947237264,234234234
11,325,578345624945,943113467309,666333111
12,325,539608253046,943113467309,234234234
13,325,943113467309,948482887887,222444888
14,325,539608253046,948482887887,234234234
15,325,539608253046,578345624945,666333111
16,125,943113467309,578345624945,234234234
17,125,539608253046,850986092469,222444888
18,125,943113467309,850986092469,222444888
19,25,578345624945,964462351156,234234234
20,25,850986092469,964462351156,666333111
21,25,539608253046,729641348006,234234234
22,125,943113467309,729641348006,666333111
23,225,850986092469,539608253046,666333111
24,325,729641348006,539608253046,222444888
25,225,850986092469,366947237264,666333111
26,225,943113467309,366947237264,222444888
27,225,578345624945,943113467309,666333111
28,225,729641348006,943113467309,222444888
29,325,729641348006,948482887887,222444888
30,325,578345624945,948482887887,222444888
31,325,539608253046,578345624945,666333111
32,325,729641348006,578345624945,234234234
