Wnumber,Wamount,Waccount,Mssn
1,50,850986092469,222444888
2,50,964462351156,222444888
3,50,729641348006,222444888
4,250,539608253046,666333111
5,450,366947237264,666333111
6,650,943113467309,666333111
7,450,948482887887,222444888
8,450,578345624945,666333111
9,450,850986092469,222444888
10,450,964462351156,234234234
11,650,729641348006,234234234
12,650,539608253046,666333111
13,650,366947237264,666333111
14,650,943113467309,666333111
15,650,948482887887,222444888
16,250,578345624945,666333111
17,250,850986092469,666333111
18,250,964462351156,234234234
19,50,729641348006,234234234
20,50,539608253046,234234234
21,50,366947237264,234234234
22,250,943113467309,234234234
23,450,948482887887,234234234
24,650,578345624945,234234234
25,450,850986092469,222444888
26,450,964462351156,666333111
27,450,729641348006,666333111
28,450,539608253046,222444888
29,650,366947237264,222444888
30,650,943113467309,222444888
31,650,948482887887,222444888
32,650,578345624945,234234234
